6178 2013-12-01 1 0.80922243874 0.0627892490829
6178 2013-12-01 2 0.615128568008 0.47081591475
6178 2013-12-01 3 0.00280955873827 0.0279462004974
6178 2013-12-01 4 0.0989789246613 0.861014248821
6178 2013-12-01 5 0.60820076572 0.752691141993
6499 2013-10-02 1 0.753220285709 0.222481458686
6499 2013-10-02 2 0.111607298415 0.253811721335
6499 2013-10-02 3 0.94403426691 0.425065630413
6499 2013-10-02 4 0.722840322925 0.267174113991
6499 2013-10-02 5 0.648164739983 0.442367746668
6764 2014-04-07 1 0.641005442878 0.617834612163
6764 2014-04-07 2 0.223200045918 0.0764751974017
6764 2014-04-07 3 0.967689397922 0.419750470799
6764 2014-04-07 4 0.843236019229 0.873969406881
6764 2014-04-07 5 0.729081390778 0.457508390283
6994 2013-05-01 1 0.991402113146 0.187513668339
6994 2013-05-01 2 0.0922726539841 0.571672826193
6994 2013-05-01 3 0.085713408569 0.667816358427
6994 2013-05-01 4 0.885761026349 0.625086140781
6994 2013-05-01 5 0.982814197075 0.678836145759
6541 2013-11-10 1 0.566078676842 0.529141575058
6541 2013-11-10 2 0.348600183275 0.875909196151
6541 2013-11-10 3 0.729164414255 0.697698705948
6541 2013-11-10 4 0.746607017057 0.715513822921
6541 2013-11-10 5 0.0615582764392 0.339074357918
